symptoms,disease,symptoms_processed
I have been having a headache for the past few days and it is getting worse. I also have a sore neck and my vision is blurry.,Migraine,headache past day get worse also sore neck vision blurry
"continuous sneezing,chills,fatigue,cough,high fever,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"chills,fatigue,cough,high fever,breathlessness,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness malaise phlegm chest pain fast heart rate rusty sputum
"bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,bladder discomfort foul smell urine continuous feel urine
"vomiting,headache,nausea,spinning movements,loss of balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo,vomit headache nausea spin movement loss balance unsteadiness
"weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,weakness limb neck pain dizziness loss balance
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye coma stomach bleeding
"I have trouble breathing, especially when I'm outside. I start to feel hot and sweaty. I also get urinary tract infections and yeast infections a lot.",Diabetes,trouble breathe especially outside start feel hot sweaty also get urinary tract infection yeast infection lot
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
"continuous sneezing,chills,fatigue,cough,high fever,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,dizziness,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy dizziness puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
I have a fever and I can't breathe through my nose or mouth. I'm tired and I've been coughing up mucus. Can you recommend some medications?,Bronchial Asthma,fever breathe nose mouth tire cough mucus recommend medication
"muscle weakness,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness swell joint movement stiffness painful walking
"skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,skin rash nodal skin eruption dischromic patch
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"vomiting,sunken eyes,dehydration,diarrhoea",Gastroenteritis,vomit sunken eye dehydration diarrhoea
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases,internal itching",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas internal itching
"itching,skin rash,burning micturition,spotting  urination",Drug Reaction,itch skin rash burn micturition spot urination
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"fatigue,yellowish skin,nausea,loss of appetite,yellowing of eyes,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite yellow eye family history
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"joint pain,neck pain,knee pain,hip joint pain,swelling joints",Osteoarthristis,joint pain neck pain knee pain hip joint pain swell joint
"chills,vomiting,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"fatigue,yellowish skin,nausea,loss of appetite,family history",Hepatitis C,fatigue yellowish skin nausea loss appetite family history
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
I have these red and bumpy spots on my skin that are itchy. They're also a different color than the rest of my skin. I've had some bumps that are kind of like little lumps.,Fungal Infection,red bumpy spot skin itchy also different color rest skin bump kind like little lump
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",Migraine,acidity indigestion headache blur distorted vision excessive hunger stiff neck depression irritability visual disturbance
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"skin rash,high fever,blister,red sore around nose,yellow crust ooze",Impetigo,skin rash high fever blister red sore around nose yellow crust ooze
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"I was driving home from work and suddenly felt a headache, chest discomfort, and dizziness. I've been having trouble concentrating and focusing while driving since then.",Hypertension,drive home work suddenly felt headache chest discomfort dizziness trouble concentrate focus drive since
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"chills,fatigue,cough,high fever,breathlessness,sweating,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat phlegm chest pain fast heart rate rusty sputum
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitations",Hypoglycemia,vomit fatigue anxiety sweat headache nausea blur distorted vision excessive hunger dry tingle lip slur speech irritability palpitation
"fatigue,cough,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough breathlessness family history mucoid sputum
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"joint pain,vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,joint pain vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"itching,skin rash,dischromic  patches",Fungal Infection,itch skin rash dischromic patch
"I have a lot of itchy spots on my skin. They're sometimes red or bumpy, and sometimes they're different colors than the rest of my skin. I also get these weird bumps that look like little balls.",Fungal Infection,lot itchy spot skin sometimes red bumpy sometimes different color rest skin also get weird bump look like little ball
"chills,vomiting,high fever,sweating,headache,nausea,muscle pain",Malaria,chill vomit high fever sweat headache nausea muscle pain
"itching,vomiting,yellowish skin,nausea,loss of appetite,yellowing of eyes",Chronic Cholestasis,itch vomit yellowish skin nausea loss appetite yellow eye
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
I have red spots on my body that are itchy and inflamed. I also have a high fever and chills.,Dengue,red spot body itchy inflame also high fever chill
"muscle weakness,stiff neck,swelling joints,movement stiffness,painful walking",Arthritis,muscle weakness stiff neck swell joint movement stiffness painful walking
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limb neck pain dizziness loss balance
I've been feeling really run down and weak. My throat is really sore and I've been coughing a lot. I've also been feeling really cold and have a fever.,Common Cold,feel really run weak throat really sore cough lot also feel really cold fever
"I've been having back pain, a hacking cough, and numbness in my arms and legs. My neck hurts too, and I've been having trouble staying balanced and without getting lightheaded.",Cervical Spondylosis,back pain hacking cough numbness arm legs neck hurt trouble stay balance without get lightheaded
I have been experiencing back pain for a few days now. It is worse when I sit or stand for a long time. I also have rashes all over my body and a pain behind my eyes.,Dengue,experience back pain day bad sit stand long time also rashes body pain behind eye
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",Cervical Spondylosis,back pain weakness limb neck pain dizziness loss balance
"skin rash,high fever,blister,red sore around nose",Impetigo,skin rash high fever blister red sore around nose
I have been having trouble with my muscles and joints. My neck is really tight and my muscles feel weak. I have swollen joints and it is hard to move around without becoming stiff. It is also really uncomfortable to walk.,Arthritis,trouble muscle joint neck really tight muscle feel weak swollen joint hard move around without become stiff also really uncomfortable walk
